Contact	Overhead
15300	289.8333333333333
40900	521.5381526104418
19400	343.0174418604651
45000	542.1780303030303
23500	392.43783783783783
49100	566.4384057971015
2000	95.55555555555556
27600	435.7070707070707
53200	581.5292096219931
6100	150.46534653465346
31700	484.27536231884056
57300	583.4839743589744
10200	221.9296875
35800	505.14222222222224
14300	276.11842105263156
39900	521.4074074074074
18400	327.44117647058823
44000	532.231939163498
22500	381.03846153846155
48100	564.0882352941177
1000	70.41176470588235
26600	427.4329896907216
52200	574.1349480968859
5100	142.06976744186048
30700	479.7722772277228
56300	588.516447368421
9200	197.82677165354332
34800	501.5681818181818
13300	260.8918918918919
38900	513.0082987551867
17400	312.92215568862275
43000	529.7713178294574
21500	366.77222222222224
47100	557.992565055762

