Contact	DeliveryPercentage	OverheadRatio	AvgLatency	TotalForwards
5500	69.92481203007519	176.51612903225808	440.9569892465447	101.23308270676692
5600	68.38235294117648	180.58064516129033	440.9569892465447	101.24264705882354
5700	68.84057971014492	181.02105263157895	447.80421052551014	102.17391304347827
5800	70.71428571428572	177.2020202020202	469.7070707062034	102.66428571428571
5900	70.4225352112676	178.97	473.06099999912067	103.16901408450704
6000	69.6551724137931	181.3861386138614	476.7841584149531	103.4
6100	68.24324324324324	185.07920792079207	476.7841584149531	103.36486486486487
6200	68.0	186.92156862745097	485.95588235204775	103.97333333333333
6300	67.76315789473685	188.6601941747573	496.9038834942495	104.57236842105263
6400	66.45161290322581	192.79611650485438	496.9038834942495	104.78064516129032
6500	65.60509554140127	196.7864077669903	496.9038834942495	105.5859872611465
6600	65.0	199.31730769230768	492.85192307603444	105.9625
6700	65.2439024390244	198.26168224299064	505.13644859726725	105.84756097560975
6800	64.45783132530121	201.57943925233644	505.13644859726725	106.27710843373494
6900	64.88095238095238	201.1834862385321	506.534862384483	106.67261904761905
7000	64.11764705882354	204.4678899082569	506.534862384483	107.07058823529412
7100	63.95348837209303	206.1727272727273	507.63090909008884	107.63953488372093
7200	62.857142857142854	210.7	507.63090909008884	108.22285714285714
7300	61.79775280898876	213.6818181818182	507.63090909008884	107.85955056179775
7400	61.66666666666667	214.96396396396398	508.372072071277	108.24444444444444
7500	60.65573770491803	218.4144144144144	508.372072071277	108.15300546448087
7600	61.62162162162163	216.3684210526316	521.17105263087	108.82702702702703
7700	60.63829787234043	219.9298245614035	521.17105263087	108.82446808510639
7800	59.68586387434554	223.4298245614035	521.17105263087	108.76439790575917
7900	59.067357512953365	227.0701754385965	521.17105263087	109.37823834196891
8000	59.183673469387756	226.10344827586206	532.1405172407447	109.08163265306122
8100	58.58585858585859	229.17241379310346	532.1405172407447	109.39393939393939
8200	58.70646766169154	228.75423728813558	537.1796610163962	109.3731343283582
8300	57.84313725490197	232.1949152542373	537.1796610163962	109.41666666666667
8400	58.252427184466015	231.76666666666668	532.4191666662028	109.95631067961165
8500	58.85167464114832	229.97560975609755	536.4317073167413	110.2822966507177
8600	58.01886792452831	232.66666666666666	536.4317073167413	109.91037735849056
8700	57.476635514018696	235.8130081300813	536.4317073167413	110.35514018691589
8800	56.94444444444444	239.3008130081301	536.4317073167413	110.95833333333333
8900	57.077625570776256	239.2	562.2159999997708	111.21461187214612
9000	56.30630630630631	242.152	562.2159999997708	111.05855855855856
9100	56.25	243.1031746031746	563.653174602999	111.30357142857143
9200	55.947136563876654	244.29133858267716	574.2078740156277	111.23788546255507
9300	55.45851528384279	247.44094488188978	574.2078740156277	111.67248908296943
9400	54.741379310344826	251.29133858267716	574.2078740156277	111.95258620689656
9500	54.46808510638298	252.5	581.3210937499423	111.92340425531916
9600	54.008438818565395	255.671875	581.3210937499423	112.36708860759494
9700	53.55648535564853	258.84375	581.3210937499423	112.82845188284519
9800	52.892561983471076	262.4609375	581.3210937499423	113.02066115702479
9900	52.459016393442624	265.375	581.3210937499423	113.32377049180327
10000	52.03252032520326	268.015625	581.3210937499423	113.45528455284553
10100	51.40562248995983	271.171875	581.3210937499423	113.38955823293173
10200	50.99601593625498	274.0	581.3210937499423	113.68525896414343
10300	50.78740157480315	274.90697674418607	581.8131782945924	113.57086614173228
10400	51.171875	273.1832061068702	583.2770992368133	113.68359375
10500	51.162790697674424	273.5681818181818	605.4462121214619	113.78682170542636
10600	50.95785440613027	274.1578947368421	607.5578947371694	113.53256704980843
10700	50.57034220532319	277.203007518797	607.5578947371694	113.92395437262357
10800	50.37593984962406	277.9776119402985	609.9298507466766	113.74812030075188
10900	50.18587360594795	279.0444444444444	611.7451851856738	113.74349442379182
11000	49.815498154981555	282.2148148148148	611.7451851856738	114.21033210332104
11100	49.63503649635037	283.1397058823529	615.4977941182208	114.16423357664233
11200	49.458483754512635	284.15328467153284	611.3445255481047	114.16967509025271
11300	49.46236559139785	285.1159420289855	616.1695652181365	114.55197132616487
11400	48.93617021276596	288.1014492753623	616.1695652181365	114.52836879432624
11500	48.771929824561404	289.3884892086331	614.1928057562304	114.6561403508772
11600	48.43205574912892	292.0503597122302	614.1928057562304	114.90243902439025
11700	48.275862068965516	292.74285714285713	620.7671428580692	114.78620689655172
11800	48.28767123287671	293.3900709219858	620.5106382988911	115.0582191780822
11900	48.13559322033898	294.36619718309856	619.6140845081535	115.11525423728814
12000	47.81144781144781	297.2957746478873	619.6140845081535	115.51851851851852
12100	48.16053511705686	296.0625	627.5569444457449	115.88628762541806
12200	48.17275747508305	296.37931034482756	628.4903448289798	116.01993355481727
12300	48.18481848184818	296.9246575342466	628.4760273987473	116.26732673267327
12400	47.868852459016395	299.6027397260274	628.4760273987473	116.57377049180327
12500	47.4025974025974	303.13698630136986	628.4760273987473	116.8603896103896
12600	47.266881028938904	304.04761904761904	631.2108843553274	116.88745980707395
12700	47.284345047923324	304.7432432432432	633.7175675692523	117.19488817891374
12800	46.98412698412698	307.2364864864865	633.7175675692523	117.4063492063492
12900	46.68769716088328	310.0135135135135	633.7175675692523	117.73817034700315
13000	46.25	313.11486486486484	633.7175675692523	117.825
13100	45.962732919254655	315.7162162162162	633.7175675692523	118.06521739130434
